City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Pontian Kecil,MY,1.4801,103.3899,30.18,69,100,0.65,overcast clouds
290,Kloulklubed,PW,7.0419,134.2556,28.28,66,91,1.39,overcast clouds
291,Misratah,LY,32.3754,15.0925,23.63,72,0,0.99,clear sky
292,Olinda,BR,-8.0089,-34.8553,22.85,83,75,4.12,broken clouds
293,Biswan,IN,27.5,81.0,38.38,33,0,3.61,clear sky
294,Tamboril,DO,19.4854,-70.611,21.9,94,75,0.0,broken clouds
295,Sioux Lookout,CA,50.1001,-91.917,15.04,82,20,4.12,few clouds
296,Luderitz,NA,-26.6481,15.1594,12.26,74,0,2.8,clear sky
297,Bairiki,KI,1.3292,172.9752,30.0,70,20,4.12,few clouds
298,Mildura,AU,-34.2,142.15,13.37,71,91,3.36,overcast clouds
299,Ascension,US,30.2169,-90.9001,25.56,97,0,0.0,clear sky
300,Bowen,AU,-20.0167,148.2333,23.54,65,33,7.34,scattered clouds
301,Caxito,AO,-8.5785,13.6643,16.28,98,32,1.32,scattered clouds
302,Arkhangelsk,RU,64.5401,40.5433,15.06,72,75,3.0,broken clouds
303,Karratha,AU,-20.7377,116.8463,27.61,34,95,7.1,light rain
304,Bedi,IN,22.5,70.05,32.59,59,96,5.13,overcast clouds
305,Mankachar,IN,25.5333,89.8667,26.87,88,100,5.12,heavy intensity rain
306,Srednekolymsk,RU,67.45,153.6833,19.99,21,17,4.45,few clouds
307,Chuy,UY,-33.6971,-53.4616,12.33,97,100,1.4,overcast clouds
308,Whitehorse,CA,60.7161,-135.0538,21.43,30,40,2.57,scattered clouds
309,Andros,GR,37.8333,24.9333,22.31,68,0,5.81,clear sky
310,Kindu,CD,-2.95,25.95,20.96,77,48,0.46,scattered clouds
311,Agua Dulce,MX,18.1333,-94.1333,24.9,88,6,4.37,clear sky
312,Maceio,BR,-9.6658,-35.7353,21.69,94,75,2.57,broken clouds
313,San Vicente,AR,-26.6167,-54.1333,15.72,94,67,2.87,moderate rain
314,Coihaique,CL,-45.5752,-72.0662,3.97,60,20,3.09,few clouds
315,Kapit,MY,2.0167,112.9333,31.87,59,83,1.11,broken clouds
316,Lokoja,NG,7.8024,6.743,22.4,95,100,0.72,overcast clouds
317,Ligayan,PH,4.6533,119.4706,28.16,73,64,1.0,broken clouds
318,Terrace,CA,54.5163,-128.6035,12.95,76,100,3.6,light rain
319,Zhob,PK,31.3411,69.4481,31.75,24,0,1.42,clear sky
320,Oarai,JP,36.3167,140.6,27.41,83,100,1.72,moderate rain
321,Skibbereen,IE,51.55,-9.2667,15.62,96,86,4.02,overcast clouds
322,La Macarena,CO,2.1837,-73.7849,20.77,94,32,0.49,scattered clouds
323,Aurangabad,IN,19.8833,75.3333,28.47,60,98,1.26,overcast clouds
324,Fonte Boa,BR,-2.4959,-66.2662,21.52,99,100,0.46,overcast clouds
325,Shenjiamen,CN,29.9576,122.298,23.64,91,97,6.12,overcast clouds
326,Zhangye,CN,38.9342,100.4517,33.33,11,60,1.9,broken clouds
327,Lata,PT,40.1629,-8.3327,15.31,96,55,0.56,broken clouds
328,Rawson,AR,-43.3002,-65.1023,6.53,73,77,16.6,light rain
329,Fortuna,US,40.5982,-124.1573,13.14,84,0,1.54,clear sky
330,Pincher Creek,CA,49.4833,-113.952,16.06,77,75,2.06,broken clouds
331,Lermontovka,RU,47.1453,134.3383,21.91,86,87,3.06,overcast clouds
332,Mirabad,AF,30.4362,61.8383,36.56,15,1,10.07,clear sky
333,Guerrero Negro,MX,27.9769,-114.0611,17.67,85,0,5.6,clear sky
334,Consuelo,PH,10.6348,124.301,29.23,67,9,1.5,clear sky
335,Labuhan,ID,-6.8844,112.2051,30.31,67,79,3.87,light rain
336,Poum,NC,-20.2333,164.0167,26.31,79,88,5.96,overcast clouds
337,Fare,PF,-16.7,-151.0167,26.29,77,12,7.53,light rain
338,San Cristobal,VE,7.7669,-72.225,23.1,97,62,0.98,broken clouds
339,Amos,CA,48.5669,-78.1162,15.66,93,70,5.01,broken clouds
340,Nizwa,OM,22.9333,57.5333,38.18,25,60,0.79,broken clouds
341,Jalingo,NG,8.8833,11.3667,22.05,96,100,2.64,light rain
342,Metz,FR,49.1191,6.1727,17.66,63,0,2.06,clear sky
343,Marsh Harbour,BS,26.5412,-77.0636,26.91,77,4,1.76,clear sky
344,Erechim,BR,-27.6342,-52.2739,13.5,95,86,3.02,overcast clouds
345,Bakel,SN,14.905,-12.4568,29.6,45,75,5.8,broken clouds
346,Catuday,PH,16.2923,119.8062,29.56,68,85,3.32,heavy intensity rain
347,San Quintin,MX,30.4833,-115.95,16.94,85,1,2.28,clear sky
348,Lavrentiya,RU,65.5833,-171.0,6.44,74,7,3.67,clear sky
