City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Nabire,ID,27.99,light rain,-3.3667,135.4833,Hotel Nusantara I
596,Puerto Escondido,MX,25.41,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
597,Osmena,PH,29.93,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
598,Seoul,KR,26.66,haze,37.5683,126.9778,롯데호텔 서울
601,Sidi Ali,DZ,25.27,scattered clouds,36.0998,0.4206,Complexe touristique haje bezine
602,Black River,JM,25.9,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
607,Manado,ID,31.43,light rain,1.487,124.8455,Aryaduta Hotel
609,Beihai,CN,28.92,heavy intensity rain,21.4833,109.1,21 Degree Hostel
611,Guymon,US,27.0,clear sky,36.6828,-101.4816,Simple Rewards
612,Sinjai,ID,27.89,overcast clouds,-5.1241,120.253,Wisma Sandika
614,Sungaipenuh,ID,24.37,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
618,Manzhouli,CN,25.43,few clouds,49.6,117.4333,Angala International Youth Hostel
619,Guane,CU,25.07,light rain,22.2025,-84.0875,base de Campismo LosPortales de Guane
624,Derzhavinsk,KZ,26.5,broken clouds,51.1,66.3167,Ooo.khim Baza
628,Lubu,CN,27.42,overcast clouds,23.1742,112.2809,Classic View Hotel
629,Kashi,CN,28.56,clear sky,39.4547,75.9797,帕米尔青年旅舍
634,Puerto Madero,MX,24.84,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
635,Filingue,NE,28.0,broken clouds,14.3521,3.3168,
636,Ugoofaaru,MV,28.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
638,Chardara,KZ,29.38,scattered clouds,41.2547,67.9692,Жанаргул
649,Akdepe,TM,30.05,clear sky,42.0551,59.3788,
653,Kupang,ID,30.22,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
657,Yuancheng,CN,31.62,overcast clouds,36.652,107.7896,
658,Zhanaozen,KZ,30.92,few clouds,43.3,52.8,K.korabay 28A
662,Sri Aman,MY,29.03,light rain,1.2376,111.4621,Seri Simanggang Hotel
664,Honggang,CN,26.9,clear sky,46.4667,124.8667,亚布力滑雪旅游度假区
665,Hirara,JP,28.15,heavy intensity rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
667,Daska,PK,26.99,broken clouds,32.3243,74.3497,Royal Dream Fort
670,Wattegama,LK,27.74,overcast clouds,6.7989,81.4808,
672,Nenjiang,CN,27.02,clear sky,49.1833,125.2167,Nenjiang Apartment
